Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,1 - 1,/match/839877/matchfacts/west-ham-united-vs-fulham,2010-10-02T12:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,0 - 0,/match/839875/matchfacts/sunderland-vs-manchester-united,2010-10-02T12:15:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,2 - 1,/match/839878/matchfacts/manchester-city-vs-newcastle-united,2010-10-03T10:30:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,1 - 2,/match/839874/matchfacts/liverpool-vs-blackpool,2010-10-03T12:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,2 - 0,/match/839883/matchfacts/chelsea-vs-arsenal,2010-10-03T13:00:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,2 - 1,/match/839885/matchfacts/arsenal-vs-birmingham-city,2010-10-16T12:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,2 - 1,/match/839892/matchfacts/bolton-wanderers-vs-stoke-city,2010-10-16T12:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,1 - 2,/match/839891/matchfacts/fulham-vs-tottenham-hotspur,2010-10-16T12:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 2,/match/839884/matchfacts/manchester-united-vs-west-bromwich-albion,2010-10-16T12:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,2 - 2,/match/839888/matchfacts/newcastle-united-vs-wigan-athletic,2010-10-16T12:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 1,/match/839889/matchfacts/wolverhampton-wanderers-vs-west-ham-united,2010-10-16T12:00:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,0 - 0,/match/839886/matchfacts/aston-villa-vs-chelsea,2010-10-16T14:30:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,2 - 0,/match/839887/matchfacts/everton-vs-liverpool,2010-10-17T10:30:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,2 - 3,/match/839893/matchfacts/blackpool-vs-manchester-city,2010-10-17T13:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,0 - 0,/match/839890/matchfacts/blackburn-rovers-vs-sunderland,2010-10-18T17:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,1 - 1,/match/839896/matchfacts/tottenham-hotspur-vs-everton,2010-10-23T09:45:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,2 - 0,/match/839899/matchfacts/birmingham-city-vs-blackpool,2010-10-23T12:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 0,/match/839903/matchfacts/chelsea-vs-wolverhampton-wanderers,2010-10-23T12:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,1 - 0,/match/839895/matchfacts/sunderland-vs-aston-villa,2010-10-23T12:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,2 - 1,/match/839900/matchfacts/west-bromwich-albion-vs-fulham,2010-10-23T12:00:00.000Z
