,0
1530,Blackburn
1531,8655
1532,839799
1533,Bolton Wanderers
1534,Bolton
1535,8559
1536,839803
1537,Sunderland
1538,Sunderland
1539,8472
1540,840184
1541,Wigan Athletic
1542,Wigan
1543,8528
1544,839805
1545,Wolverhampton Wanderers
1546,Wolves
1547,8602
1548,839800
1549,Chelsea
1550,Chelsea
1551,8455
1552,839801
1553,Liverpool
1554,Liverpool
1555,8650
1556,839802
1557,Manchester United
1558,Man United
1559,10260
1560,839824
1561,Arsenal
1562,Arsenal
1563,9825
1564,839830
1565,Birmingham City
1566,Birmingham
1567,8658
1568,839826
1569,Everton
1570,Everton
1571,8668
1572,839832
1573,Stoke City
1574,Stoke
1575,10194
1576,839831
1577,West Bromwich Albion
1578,West Brom
1579,8659
1580,839825
1581,West Ham United
1582,West Ham
1583,8654
1584,839833
1585,Wigan Athletic
1586,Wigan
1587,8528
1588,839827
1589,Newcastle United
1590,Newcastle
1591,10261
1592,839829
1593,Fulham
1594,Fulham
1595,9879
1596,839828
1597,Manchester City
1598,Man City
1599,8456
1600,839840
1601,Blackburn Rovers
1602,Blackburn
1603,8655
1604,839842
1605,Blackpool
1606,Blackpool
1607,8483
1608,839843
1609,Chelsea
1610,Chelsea
1611,8455
1612,839837
1613,Tottenham Hotspur
1614,Tottenham
1615,8586
1616,839839
1617,Wolverhampton Wanderers
1618,Wolves
1619,8602
1620,839834
1621,Manchester United
1622,Man United
1623,10260
1624,839841
1625,Bolton Wanderers
1626,Bolton
1627,8559
1628,839835
1629,Liverpool
1630,Liverpool
1631,8650
1632,839836
1633,Sunderland
1634,Sunderland
1635,8472
1636,839838
1637,Aston Villa
1638,Aston Villa
1639,10252
1640,839846
1641,Everton
1642,Everton
1643,8668
1644,839844
1645,Arsenal
1646,Arsenal
1647,9825
1648,839849
1649,Fulham
1650,Fulham
1651,9879
1652,839848
1653,Manchester City
1654,Man City
1655,8456
1656,839847
1657,Newcastle United
1658,Newcastle
1659,10261
1660,839851
1661,West Bromwich Albion
1662,West Brom
1663,8659
1664,839845
1665,West Ham United
1666,West Ham
1667,8654
1668,839853
1669,Wigan Athletic
1670,Wigan
1671,8528
1672,839850
1673,Birmingham City
1674,Birmingham
1675,8658
1676,839852
1677,Stoke City
1678,Stoke
1679,10194
1680,839861
1681,Stoke City
1682,Stoke
1683,10194
1684,839857
1685,Aston Villa
1686,Aston Villa
1687,10252
1688,839859
1689,Blackburn Rovers
1690,Blackburn
1691,8655
1692,839858
1693,Everton
1694,Everton
1695,8668
1696,839856
1697,Tottenham Hotspur
1698,Tottenham
1699,8586
1700,839860
1701,West Bromwich Albion
1702,West Brom
1703,8659
1704,839855
1705,Sunderland
1706,Sunderland
1707,8472
1708,839854
1709,Manchester United
1710,Man United
1711,10260
1712,839862
1713,Wigan Athletic
1714,Wigan
1715,8528
1716,839863
1717,Chelsea
1718,Chelsea
1719,8455
1720,839868
1721,Manchester City
1722,Man City
1723,8456
1724,839864
1725,Arsenal
1726,Arsenal
1727,9825
1728,839871
1729,Birmingham City
1730,Birmingham
1731,8658
1732,839873
1733,Blackpool
1734,Blackpool
1735,8483
1736,839870
1737,Fulham
1738,Fulham
1739,9879
1740,839865
1741,Liverpool
1742,Liverpool
1743,8650
1744,839866
1745,West Ham United
1746,West Ham
1747,8654
1748,839872
1749,Bolton Wanderers
1750,Bolton
1751,8559
1752,839869
1753,Wolverhampton Wanderers
1754,Wolves
1755,8602
1756,839867
1757,Newcastle United
1758,Newcastle
1759,10261
1760,839882
1761,Wigan Athletic
1762,Wigan
1763,8528
1764,839879
1765,Birmingham City
1766,Birmingham
1767,8658
1768,839881
1769,Stoke City
1770,Stoke
1771,10194
1772,839876
1773,Tottenham Hotspur
1774,Tottenham
1775,8586
1776,839880
1777,West Bromwich Albion
1778,West Brom
1779,8659
1780,839877
1781,West Ham United
1782,West Ham
1783,8654
1784,839875
1785,Sunderland
1786,Sunderland
1787,8472
1788,839878
1789,Manchester City
1790,Man City
1791,8456
1792,839874
1793,Liverpool
1794,Liverpool
1795,8650
1796,839883
1797,Chelsea
1798,Chelsea
1799,8455
1800,839885
1801,Arsenal
1802,Arsenal
1803,9825
1804,839892
1805,Bolton Wanderers
1806,Bolton
1807,8559
1808,839891
1809,Fulham
1810,Fulham
1811,9879
1812,839884
1813,Manchester United
1814,Man United
1815,10260
1816,839888
1817,Newcastle United
1818,Newcastle
1819,10261
1820,839889
1821,Wolverhampton Wanderers
1822,Wolves
1823,8602
1824,839886
1825,Aston Villa
1826,Aston Villa
1827,10252
1828,839887
1829,Everton
1830,Everton
1831,8668
1832,839893
1833,Blackpool
1834,Blackpool
1835,8483
1836,839890
1837,Blackburn Rovers
1838,Blackburn
1839,8655
1840,839896
1841,Tottenham Hotspur
1842,Tottenham
1843,8586
1844,839899
1845,Birmingham City
1846,Birmingham
1847,8658
1848,839903
1849,Chelsea
1850,Chelsea
1851,8455
1852,839895
1853,Sunderland
1854,Sunderland
1855,8472
1856,839900
1857,West Bromwich Albion
1858,West Brom
1859,8659
1860,839902
1861,Wigan Athletic
1862,Wigan
1863,8528
1864,839897
1865,West Ham United
1866,West Ham
1867,8654
1868,839901
1869,Stoke City
1870,Stoke
1871,10194
1872,839894
1873,Liverpool
1874,Liverpool
1875,8650
1876,839898
1877,Manchester City
1878,Man City
1879,8456
1880,839905
1881,Arsenal
1882,Arsenal
1883,9825
1884,839910
1885,Blackburn Rovers
1886,Blackburn
1887,8655
1888,839907
1889,Everton
1890,Everton
1891,8668
1892,839911
1893,Fulham
1894,Fulham
1895,9879
1896,839909
1897,Wolverhampton Wanderers
1898,Wolves
1899,8602
1900,839904
1901,Manchester United
1902,Man United
1903,10260
1904,839906
1905,Aston Villa
1906,Aston Villa
1907,10252
1908,839908
